concessionaria;ano_do_pnv_snv;rodovia_uf;sentido;subtipo_de_pista;numero_de_faixas;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;539,913;-20,227964;-20,265811;545,655;-44,396268;-44,422988
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;545,656;-20,265811;-20,761626;620,756;-44,422988;-44,777047
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;620,757;-20,761626;-20,774302;622,344;-44,777047;-44,781842
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;622,345;-20,774302;-21,988444;809,336;-44,781842;-45,663757
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;809,337;-21,988444;-21,998089;811,000;-45,663757;-45,674108
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;811,001;-21,998089;-22,336461;862,568;-45,674108;-45,923272
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;862,569;-22,336461;-22,366228;866,251;-45,923272;-45,931786
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;866,252;-22,366228;-22,449581;878,550;-45,931786;-45,998405
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;878,551;-22,449581;-22,459833;880,271;-45,998405;-46,010088
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;880,272;-22,459833;-22,662194;905,372;-46,010088;-46,089488
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;905,373;-22,662194;-22,686208;909,026;-46,089488;-46,103342
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;909,027;-22,686208;-22,799675;933,849;-46,103342;-46,259721
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;933,850;-22,799675;-22,804161;935,465;-46,259721;-46,273240
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;935,466;-22,804161;-22,832716;941,604;-46,273240;-46,317145
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;941,605;-22,832716;-22,842680;943,578;-46,317145;-46,330361
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;943,579;-22,842680;-22,849365;944,569;-46,330361;-46,336634
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;944,570;-22,849365;-22,854696;945,181;-46,336634;-46,337211
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;945,182;-22,854696;-22,879691;949,900;-46,337211;-46,373253
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Crescente;Dupla;2;0,000;-19,961277;-19,991458;7,400;-44,155936;-44,207061
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;0,000;-22,879691;-23,139254;41,244;-46,373253;-46,575771
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;41,245;-23,139254;-23,202681;48,777;-46,575771;-46,589584
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;48,778;-23,202681;-23,212661;50,036;-46,589584;-46,593383
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;50,037;-23,212661;-23,235433;52,794;-46,593383;-46,601549
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;52,795;-23,235433;-23,245449;53,938;-46,601549;-46,594978
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;53,939;-23,245449;-23,262135;56,345;-46,594978;-46,586830
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;56,346;-23,262135;-23,323657;65,798;-46,586830;-46,580888
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;65,799;-23,323657;-23,344050;68,305;-46,580888;-46,571767
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;4;68,306;-23,344050;-23,346047;68,874;-46,571767;-46,566629
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;68,875;-23,346047;-23,415682;80,325;-46,566629;-46,580876
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;4;80,326;-23,415682;-23,461969;85,600;-46,580876;-46,571631
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;3;85,601;-23,461969;-23,492494;89,453;-46,571631;-46,559470
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;4;89,454;-23,492494;-23,495215;89,755;-46,559470;-46,559614
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Crescente;Dupla;2;89,756;-23,495215;-23,499777;90,400;-46,559614;-46,559350
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;547,661;-20,282680;-20,270823;546,119;-44,429266;-44,424643
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;546,118;-20,270823;-20,164653;528,708;-44,424643;-44,337169
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;528,707;-20,164653;-20,165984;527,874;-44,337169;-44,331331
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;527,873;-20,165984;-20,145150;525,186;-44,331331;-44,322164
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;525,185;-20,145150;-20,116005;520,635;-44,322164;-44,304404
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;520,634;-20,116005;-20,038582;506,101;-44,304404;-44,254179
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;506,100;-20,038582;-20,030062;503,955;-44,254179;-44,235739
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;503,954;-20,030062;-19,985537;497,759;-44,235739;-44,202828
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;497,758;-19,985537;-19,975154;495,820;-44,202828;-44,191371
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;495,819;-19,975154;-19,974814;495,447;-44,191371;-44,187816
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;495,446;-19,974814;-19,961728;491,681;-44,187816;-44,156322
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;491,680;-19,961728;-19,961083;491,151;-44,156322;-44,154580
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;4;491,150;-19,961093;-19,957781;490,835;-44,154580;-44,150209
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;490,834;-19,957781;-19,959507;484,401;-44,150209;-44,088219
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;4;484,400;-19,959507;-19,957781;483,001;-44,088219;-44,079426
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;483,000;-19,957781;-19,961267;478,200;-44,079426;-44,037360
AUTOPISTA FERNÃO DIAS;2007;Contorno/MG;Decrescente;Dupla;2;7,400;-19,992136;-19,961859;0,000;-44,206809;-44,155712
AUTOPISTA FERNÃO DIAS;2007;Alça 1/SP;Decrescente;Simples;2;68,150;-23,343481;-23,336109;67,500;-46,572560;-46,575398
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;4;90,400;-23,498836;-23,492276;89,429;-46,559558;-46,559235
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;89,428;-23,492276;-23,461031;85,497;-46,559798;-46,571377
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;478,200;-19,961140;-19,957087;490,908;-44,037418;-44,151163
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;4;490,909;-19,957087;-19,959428;491,236;-44,151163;-44,153988
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;491,237;-19,959428;-19,984677;497,662;-44,153988;-44,202637
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;497,663;-19,984677;-19,993286;498,806;-44,202637;-44,207918
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;498,807;-19,993286;-19,994763;498,980;-44,207918;-44,208469
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;498,981;-19,994763;-20,082160;513,890;-44,208469;-44,308103
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;513,891;-20,082160;-20,119600;521,147;-44,308103;-44,302328
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;2;521,148;-20,119600;-20,227964;539,912;-44,302328;-44,396268
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;4;85,496;-23,461031;-23,414637;80,043;-46,571377;-46,581070
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;70,139;-23,349735;-23,320022;65,364;-46,557482;-46,582314
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;65,363;-23,320022;-23,314300;64,711;-46,582314;-46,582248
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;64,710;-23,314300;-23,280481;58,660;-46,582248;-46,586475
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;58,659;-23,280481;-23,201439;48,625;-46,586475;-46,588869
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;48,624;-23,201439;-23,138628;41,177;-46,588869;-46,575643
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;41,176;-23,138628;-23,090898;35,231;-46,575643;-46,572453
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;35,230;-23,090898;-23,074308;33,249;-46,572453;-46,565819
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;33,248;-23,074308;-23,006108;23,130;-46,565819;-46,520903
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;23,129;-23,006108;-22,995846;22,053;-46,520903;-46,514392
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;22,052;-22,995846;-22,982175;19,293;-46,514392;-46,496375
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;19,292;-22,982175;-22,968172;17,072;-46,496375;-46,485118
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;2;17,071;-22,968172;-22,879691;0,000;-46,485118;-46,373253
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;949,900;-22,879691;-22,870777;948,149;-46,373253;-46,358795
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;948,148;-22,870777;-22,866625;947,165;-46,358795;-46,350485
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;947,164;-22,866625;-22,808525;936,209;-46,350485;-46,277824
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;936,208;-22,808525;-22,808304;935,040;-46,277824;-46,266227
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;935,039;-22,808304;-22,766642;927,433;-46,266227;-46,220488
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;927,432;-22,766642;-22,768320;926,544;-46,220488;-46,212059
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;926,543;-22,768320;-22,772611;923,132;-46,212059;-46,183813
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;923,131;-22,772611;-22,756428;919,446;-46,183813;-46,155504
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;919,445;-22,756428;-22,691108;909,815;-46,155504;-46,108826
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;909,814;-22,691108;-22,683327;908,569;-46,108826;-46,101011
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;908,568;-22,683327;-22,412585;872,861;-46,101011;-45,959589
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;872,860;-22,412585;-22,401691;871,569;-45,959589;-45,961606
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;871,568;-22,401691;-22,369310;866,675;-45,961606;-45,934043
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;866,674;-22,369310;-22,360489;865,561;-45,934043;-45,929254
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;865,560;-22,360489;-22,155658;838,618;-45,929254;-45,825064
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;838,617;-22,155658;-22,146346;837,357;-45,825064;-45,819685
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;837,356;-22,146346;-21,288040;701,001;-45,819685;-45,145297
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;701,000;-21,288040;-21,280365;699,747;-45,145297;-45,139944
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;699,746;-21,280365;-20,374619;561,429;-45,139944;-44,472577
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;561,428;-20,374619;-20,339799;555,803;-44,472577;-44,441041
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;2;555,802;-20,339799;-20,282680;547,662;-44,441041;-44,429266
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Crescente;Dupla;3;477,200;-19,957472;-19,961140;478,199;-44,029349;-44,037418
AUTOPISTA FERNÃO DIAS;2007;BR-381/MG;Decrescente;Dupla;3;478,199;-19,961267;-19,957519;477,200;-44,037360;-44,029324
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;4;70,299;-23,349267;-23,349735;70,140;-46,556002;-46,557482
AUTOPISTA FERNÃO DIAS;2007;BR-381/SP;Decrescente;Dupla;3;80,042;-23,414637;-23,349267;70,300;-46,581070;-46,556002
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;62,201;-22,000000;-21,748944;64,000;-41,325891;-41,336227
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;64,001;-21,748944;-21,754738;65,329;-41,336227;-41,346630
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;75,271;-21,819556;-21,823119;75,754;-41,398001;-41,401556
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;75,755;-21,823119;-21,821260;84,600;-41,401556;-41,476153
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;261,786;-22,713340;-22,861824;320,265;-42,618407;-43,107339
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Multifaixa;3;320,266;-22,861824;-22,864836;320,599;-43,107339;-43,107906
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Multifaixa;4;320,600;-22,864842;-22,877779;322,100;-43,107909;-43,110698
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;0,000;-21,222705;-21,736188;62,200;-41,309549;-41,325891
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;81,381;-21,831434;-21,822270;82,905;-41,450566;-41,459892
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;82,906;-21,822270;-21,821260;84,600;-41,459892;-41,476153
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;84,601;-21,821260;-22,216882;144,600;-41,476153;-41,757085
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;144,601;-22,216882;-22,464940;190,300;-41,757085;-42,068396
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;190,301;-22,464940;-22,475643;205,185;-42,068396;-42,190377
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;205,186;-22,475643;-22,482143;208,200;-42,190377;-42,225316
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;208,201;-22,482143;-22,506055;215,435;-42,225316;-42,275487
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;215,436;-22,506055;-22,507891;218,235;-42,275487;-42,300250
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;218,236;-22,507891;-22,611359;236,275;-42,300250;-42,406736
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;236,276;-22,611359;-22,614984;237,000;-42,406736;-42,412953
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;237,001;-22,614984;-22,861293;320,195;-42,412953;-43,107033
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Multifaixa;3;320,196;-22,861293;-22,877788;322,100;-43,107033;-43,110571
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Dupla;2;65,330;-21,754738;-21,767322;66,900;-41,346630;-41,348345
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Decrescente;Simples;1;66,901;-21,767322;-21,831434;81,380;-41,348345;-41,450566
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;65,420;-21,755216;-21,767245;66,900;-41,347334;-41,348392
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;66,901;-21,767245;-21,819556;75,270;-41,348392;-41,398001
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;0,000;-21,222705;-21,507641;34,925;-41,309549;-41,337063
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;34,926;-21,507641;-21,519027;36,265;-41,337063;-41,334100
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;36,266;-21,519027;-21,755216;65,419;-41,334100;-41,347334
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;84,601;-21,821190;-22,217086;144,600;-41,475654;-41,757511
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;144,601;-22,217086;-22,464814;190,300;-41,757511;-42,068087
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;190,301;-22,464814;-22,475474;205,090;-42,068087;-42,189493
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;205,091;-22,475474;-22,481995;208,800;-42,189493;-42,224202
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;208,801;-22,481995;-22,504532;215,065;-42,224202;-42,272413
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;215,066;-22,504532;-22,506773;217,975;-42,272413;-42,298027
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;217,976;-22,506773;-22,610794;236,180;-42,298027;-42,405946
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;236,181;-22,610794;-22,614155;236,905;-42,405946;-42,411728
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Dupla;2;236,906;-22,614155;-22,711412;261,120;-42,411728;-42,612582
AUTOPISTA FLUMINENSE;2019;BR-101/RJ;Crescente;Simples;1;261,121;-22,711412;-22,713340;261,785;-42,612582;-42,618407
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Crescente;Dupla;2;98,061;-25,552036;-25,563080;109,940;-49,150111;-49,256046
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Decrescente;Dupla;2;115,200;-25,544180;-25,570426;105,844;-49,304298;-49,216845
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Decrescente;Multifaixa;3;105,845;-25,570265;-25,571471;103,790;-49,216637;-49,196248
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Decrescente;Dupla;2;82,071;-25,430439;-25,344049;71,100;-49,083202;-49,043156
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;614,400;-25,568866;-25,577197;615,399;-49,181930;-49,179027
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;615,400;-25,577198;-25,586184;616,499;-49,179028;-49,173804
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;616,500;-25,586185;-25,598762;617,999;-49,173805;-49,173732
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;618,000;-25,598763;-25,621076;620,599;-49,173733;-49,167647
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;620,600;-25,621077;-25,809783;642,679;-49,167648;-49,133898
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;642,680;-25,809783;-25,815618;643,399;-49,133898;-49,130881
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;643,400;-25,815619;-25,845071;650,799;-49,130882;-49,072967
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;650,800;-25,845072;-25,845662;651,999;-49,072968;-49,061652
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;652,000;-25,845663;-25,843255;652,899;-49,061653;-49,054603
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;0,000;-25,981070;-26,349933;45,129;-48,886704;-48,857732
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;45,130;-26,349933;-26,352486;45,429;-48,857732;-48,858476
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;45,430;-26,352486;-27,026273;138,299;-48,858476;-48,606421
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;138,300;-27,026274;-27,056473;142,099;-48,606422;-48,599011
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;142,100;-27,056473;-27,081208;144,999;-48,599011;-48,601146
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;145,000;-27,081209;-27,085538;145,799;-48,601147;-48,607539
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;145,800;-27,085539;-27,569314;203,479;-48,607540;-48,613986
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;203,480;-27,569314;-27,654822;215,399;-48,613986;-48,678145
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;215,400;-27,654823;-27,708360;221,799;-48,678146;-48,656299
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;221,800;-27,708361;-27,714150;222,699;-48,656300;-48,649772
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;222,700;-27,714151;-27,776563;229,999;-48,649773;-48,634696
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;652,900;-25,843256;-25,841679;654,199;-49,054604;-49,042504
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;654,200;-25,841679;-25,854508;663,999;-49,042504;-48,958472
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Multifaixa;3;664,000;-25,854509;-25,904628;672,699;-48,958473;-48,922465
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Crescente;Dupla;2;672,700;-25,904628;-25,981056;682,123;-48,922465;-48,886721
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;682,123;-25,981117;-25,910637;673,241;-48,886805;-48,919894
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Multifaixa;3;673,240;-25,910637;-25,853179;663,151;-48,919894;-48,965761
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;663,150;-25,853179;-25,849904;660,001;-48,965761;-48,995023
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Multifaixa;3;660,000;-25,849904;-25,846683;658,851;-48,995023;-49,004398
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;658,850;-25,846683;-25,839651;656,201;-49,004398;-49,025355
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Multifaixa;3;656,200;-25,839651;-25,841056;653,601;-49,025355;-49,047931
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;653,600;-25,841056;-25,819051;643,801;-49,047931;-49,129012
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Multifaixa;3;230,000;-27,776564;-27,787766;231,299;-48,634697;-48,636265
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Crescente;Dupla;2;231,300;-27,787766;-27,902641;244,680;-48,636265;-48,649209
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Dupla;2;244,680;-27,902648;-27,719568;223,301;-48,648972;-48,646167
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Multifaixa;3;223,300;-27,719568;-27,712590;222,401;-48,646167;-48,650752
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Dupla;2;201,140;-27,549681;-27,085814;145,801;-48,619561;-48,607898
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Multifaixa;3;145,800;-27,085815;-27,081354;145,001;-48,607899;-48,601098
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Dupla;2;145,000;-27,081354;-26,385545;49,501;-48,601098;-48,851465
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Multifaixa;3;49,500;-26,385546;-26,382043;48,901;-48,847572;-48,851645
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Dupla;2;48,900;-26,382043;-26,355907;45,801;-48,851645;-48,858802
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Multifaixa;3;45,800;-26,355907;-26,349652;45,101;-48,858802;-48,857505
AUTOPISTA LITORAL SUL;2009;BR-101/SC;Decrescente;Dupla;2;45,100;-26,349652;-25,981135;0,000;-48,857505;-48,886793
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Crescente;Dupla;2;71,100;-25,344021;-25,528637;95,151;-49,043320;-49,141968
AUTOPISTA LITORAL SUL;2009;BR-116/PR;Crescente;Multifaixa;3;95,152;-25,528628;-25,551900;98,060;-49,141743;-49,150135
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Multifaixa;3;643,800;-25,819052;-25,796317;641,001;-49,129013;-49,129988
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;641,000;-25,796317;-25,594967;617,551;-49,129988;-49,173168
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Multifaixa;3;617,550;-25,594967;-25,585894;616,481;-49,173168;-49,173939
AUTOPISTA LITORAL SUL;2009;BR-376/PR;Decrescente;Dupla;2;616,480;-25,585894;-25,573894;615,001;-49,173939;-49,180076
